State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NJ,2012,35.6,38.9,49.8,52.6,65.1,70,77.8,74.7,67,56.8,41.5,40.6
NJ,2013,33.9,32.8,38.6,51.5,60.9,71.2,77.8,71.4,64.4,57.1,42.9,36
NJ,2014,26,29.5,35.4,50.3,62,70.6,74.1,70.8,66.9,57,42,38.7
NJ,2015,27.9,22.3,35.9,51.5,66.1,70.3,75.2,74.3,70.7,54.5,49.7,48
NJ,2016,31.4,36,47,50.7,60.2,70.6,77.2,76.9,69.7,56.7,46.7,36.3
NJ,2017,36.2,40.4,39,55.9,59.9,70.4,75.5,71.7,68.3,60.5,44.4,33.3
NJ,2018,29.2,39.4,38.3,47.8,65.2,69.9,76.1,76.8,,,,
NM,2010,33.6,35.1,43.1,52.7,59.9,72.6,73.4,72.3,68.3,56.7,42,40.4
NM,2011,33.8,35,49.2,55.6,59.6,73.1,76.6,76,66.3,55.3,43.5,31.4
NM,2012,38.6,38.2,47.8,56.6,63.4,74.2,74.4,73.9,66.2,56.1,46.6,36
NM,2013,32,36.1,46.6,52.6,61.6,74.1,73,72.3,66,52.6,42.7,34.5
NM,2014,36.4,41.9,46,52.3,60.1,72.4,74.2,70.5,66.5,57.4,42.4,37.6
NM,2015,35.6,41.4,47.6,52.5,58.3,71.6,73.1,73.4,69,57.5,43.4,35.9
NM,2016,34.3,42,48.3,52.3,59.4,73,76.9,70.1,65.9,59.6,46.7,37.8
NM,2017,37.1,44.4,51.1,53.6,60,72.7,74.5,70.7,66.2,56.2,50,38.6
NM,2018,36.9,41.2,47.3,55.1,65.5,74.4,75.1,73,,,,
NY,2010,21.8,24.1,38.2,49.2,58.6,65.1,71.4,68.2,60.9,48.5,37.9,23.1
NY,2011,18.6,21.8,30.9,45,58,65.1,71.4,67.6,62.6,49.6,43.1,31.8
NY,2012,26,29.9,43.3,43.9,60.5,64.6,71.4,68.4,59.9,50.9,35.7,31.6
NY,2013,24.3,23.3,30.6,43.4,57.2,64,71.2,65.8,58.3,50.8,34.4,25.4
NY,2014,16.9,18.8,23.6,43.5,56.7,65,67.4,65.3,60.1,51.3,35.3,30.2
