State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
MI,2017,2.78,2.02,2.94,4.39,3.36,4.72,2.74,3.5,1.57,6.63,2.74,1.88,,
MI,2018,1.74,2.96,1.13,3,4.25,2.95,2.62,4.34,,,,,,
MN,2010,0.89,0.58,0.95,1.35,3.15,5.21,4.95,4.55,6.41,2.25,1.38,1.77,,
MN,2011,1.05,0.68,1.19,2.7,4.14,4.18,4.68,2.73,1.21,0.98,0.34,0.47,,
MN,2012,0.56,1.18,1.63,2.76,5.96,4.36,3.28,2.04,0.61,1.88,0.87,1.04,,
MN,2013,1.01,1.16,1.7,3.05,4.39,5.22,2.86,1.84,2.45,3.34,0.62,1.37,,
MN,2014,0.8,0.86,0.87,3.7,3.51,8.07,2.5,3.72,2.36,1.19,0.81,0.73,,
MN,2015,0.49,0.47,0.6,1.39,5.3,3.8,4.07,3.89,2.71,2.15,2.68,1.91,,
MN,2016,0.54,0.74,1.96,2.15,2.53,4.15,6.07,5.31,4.62,2.17,1.72,1.58,,
MN,2017,0.98,0.97,0.81,2.49,3.2,3.77,2.65,5.23,3.68,3.26,0.5,0.71,,
MN,2018,0.57,1.01,1.16,1.12,2.78,5.71,4.12,3.2,,,,,,
MS,2010,5.14,4.31,3.89,2.77,5.89,3.11,4.15,4.91,0.84,1.73,5.58,1.59,,
MS,2011,4.44,2.71,6.8,6.34,1.99,3.26,5.69,2.31,7.98,1.11,4.1,6.11,,
MS,2012,4.23,5.72,6.76,3.39,3.13,3.46,7.02,8.71,4.18,3.18,2.18,7.2,,
MS,2013,9.07,7.12,4,6.62,6.11,4.15,4.36,3.28,5.29,2.27,5.25,5.41,,
MS,2014,2.08,6,5.6,8.86,5.16,6.96,4.14,3.71,2.54,4.28,3.17,5.72,,
MS,2015,4.7,4.09,6.4,6.09,6.18,4.05,4.4,3.14,1.58,5.26,7.45,7.23,,
MS,2016,3.6,5.41,10.83,5.71,2.52,3.71,4.9,5.79,1.8,0.55,3.29,5.02,,
MS,2017,6.7,2.83,4.1,5.56,6.64,9.39,4.83,6.92,2.63,2.94,1.33,5.29,,
MS,2018,3.83,10.49,5.86,6.71,3.58,3.87,4.63,4.64,,,,,,
MO,2010,2.12,1.73,3.35,3.94,6.77,4.79,6.77,2.53,7.86,0.73,3.08,0.9,,
MO,2011,1.02,3.52,3.47,7.6,6.36,4.08,2.48,3.92,2.58,1.21,5.72,3.74,,
MO,2012,1.3,2.3,4.17,3.74,2.16,1.9,1.7,2.44,4.9,3.17,1.57,1.68,,
MO,2013,3.33,3.19,3.48,6.21,6.84,4.46,3.07,4.08,2.5,3.61,2.44,2.5,,
MO,2014,1.09,1.22,1.7,5.09,3.19,6.1,2.59,4.34,3.85,6.23,1.72,2.2,,
MO,2015,1.19,1.7,3.24,3.53,7.3,7.36,7.93,3.96,2.18,1.56,7.9,7.67,,
MO,2016,0.9,1.02,2.99,3.71,5.78,2.43,6.56,6.61,4.39,2.29,1.49,1.27,,
MO,2017,1.83,0.59,3.9,9.46,5.97,4.31,3.37,5.12,1.02,3.77,0.91,1.02,,
MO,2018,1.64,4.89,3.78,2.03,4.17,3.67,2.42,5.5,,,,,,
MT,2010,1.08,0.5,0.74,2.08,3.93,3.66,1.51,2.18,1.87,0.91,1.92,1.61,,
MT,2011,1.77,1.37,1.62,2.52,5.7,3.36,1.39,0.77,0.47,1.99,1.08,0.81,,
MT,2012,1.23,0.95,1.6,1.98,2.42,2.01,1.29,0.57,0.17,1.82,1.45,1.32,,
MT,2013,1.05,0.55,0.91,1.5,4.15,3.12,1.19,1.46,2.53,1.19,0.91,1.46,,
MT,2014,1.21,1.71,2.26,1.47,1.92,3.2,0.69,3.7,1.2,0.96,1.98,1.3,,
MT,2015,1.18,0.9,0.99,1.08,2.43,1.77,1.88,1.01,1.29,1.4,1.34,1.61,,
MT,2016,0.91,0.85,1.37,2.33,3.1,1.53,2.07,1.04,2.47,3.36,0.65,1.49,,
MT,2017,0.92,1.74,1.83,2.13,1.54,1.73,0.43,0.37,2.1,1.17,1.71,1.81,,
MT,2018,1.15,2.09,1.42,2.15,2.79,3.64,0.77,1.12,,,,,,
NE,2010,0.37,0.73,1.69,2.97,3.03,7.4,4.03,2.85,2.04,0.92,0.67,0.37,,
NE,2011,0.93,0.64,0.88,2.8,5.43,3.99,3.71,3.56,0.88,1.92,0.48,0.59,,
NE,2012,0.16,1.34,0.57,3.13,2.04,1.65,1.03,1.06,0.49,0.88,0.29,0.72,,
NE,2013,0.32,0.83,0.95,2.77,4.86,2.43,2.11,3,2.32,2.8,0.78,0.27,,
NE,2014,0.22,0.64,0.5,1.99,2.63,7.23,1.72,4.7,2.57,1.34,0.32,1.12,,
NE,2015,0.21,0.68,0.24,2.64,5.89,4.73,3.33,2.83,2.54,1.43,1.95,1.6,,
NE,2016,0.4,0.79,1.16,5.2,4.39,2.2,3.55,2.57,2.21,1.16,0.86,0.82,,
NE,2017,1,0.72,1.55,2.57,4.7,1.53,2.65,4.31,2.73,2.96,0.23,0.41,,
NE,2018,0.72,0.68,1.13,1.51,4.72,5.22,4.44,2.54,,,,,,
NV,2010,1.45,1.03,0.94,1.27,1.07,0.2,0.35,0.25,0.26,2.23,1.19,2.82,,
NV,2011,0.29,0.83,1.57,1.22,1.53,0.55,0.5,0.23,0.48,0.93,0.38,0.11,,
NV,2012,0.95,0.53,1.01,0.67,0.3,0.09,0.85,1,0.53,0.67,0.48,1.81,,
NV,2013,0.68,0.38,0.42,0.51,0.7,0.12,0.76,0.54,1.39,0.59,0.74,0.63,,
NV,2014,0.51,1.2,1.03,0.66,0.79,0.12,0.77,1.49,1.19,0.12,0.71,1.33,,
NV,2015,0.5,0.58,0.38,0.7,2.11,0.56,1.22,0.49,0.34,1.83,1.29,1.34,,
NV,2016,1.72,0.48,1.01,1.58,1,0.43,0.21,0.32,0.6,1.36,0.48,1.96,,
NV,2017,2.88,1.56,1.14,1.12,0.53,0.53,0.61,0.63,0.96,0.17,0.88,0.19,,
NV,2018,0.96,0.42,1.62,0.86,1.48,0.14,0.76,0.25,,,,,,
NH,2010,2.78,4.1,7.41,7.41,2.82,2.29,3.48,3.75,2.95,7.84,3.66,4.3,,
NH,2011,2.57,3.44,4.87,4.87,5.42,5.09,2.69,9.09,6.03,6.22,3.41,4.22,,
NH,2012,3.21,1.14,1.95,1.95,3.24,5.74,2.95,4.76,5.06,5.51,0.8,5.43,,
NH,2013,1.98,3.09,2.29,2.29,2.44,5.48,5.9,3.34,5.08,1.55,3.89,3.68,,
NH,2014,3.46,3.68,4.11,4.11,3.03,4.56,7.27,3.58,1.63,5.67,3.27,5.47,,
NH,2015,3.35,2.42,1.65,1.65,2.8,1.95,3.71,3.59,5.36,4.05,2.36,5.43,,
NH,2016,1.97,4.72,3.46,3.46,2.53,2.43,3.46,4.17,2.11,4.6,3.04,4.19,,
NH,2017,2.82,3.12,3.11,3.11,4.48,6.54,3.89,3.66,2.96,7.83,2.04,3.47,,
NH,2018,4.16,3.44,2.76,2.76,4.65,1.66,4.76,5.6,,,,,,
NJ,2010,2.64,4.62,8.66,2.51,3.35,2.24,4.07,2.51,3.18,5.38,2.17,3.27,,
NJ,2011,3.33,3.07,5.55,5.67,3.77,3.43,4.11,15.67,7.12,4.19,3.83,4.21,,
NJ,2012,2.78,1.33,1.65,2.87,4.27,4.3,3.43,4.62,4.45,5.43,1.3,5.56,,
NJ,2013,3,2.89,2.89,2.6,3.82,9.49,5.27,4.67,2.11,2.01,2.89,4.74,,
NJ,2014,3.12,4.96,3.97,4.42,4.72,3.32,5.23,4.08,2.5,3.64,4.34,4.65,,
NJ,2015,4.43,2.18,4.55,2.67,1.21,8.12,3.68,2.26,3.6,4.02,2.3,4.84,,
NJ,2016,3.19,4.08,1.87,2.26,4.79,2.4,6.97,2.08,3.45,2.8,2.43,3.27,,
NJ,2017,3.71,1.64,3.94,3.82,6.51,3.32,6.29,5.17,2.27,4.97,1.7,1.47,,
